ID,medv
3,31.27947429001879
6,25.644670920079495
8,18.669399191644004
9,9.704692929075655
10,18.18776827042018
18,17.257212364585758
20,19.17726072155058
25,15.734966686960362
26,13.249822072944909
27,15.571825702560893
29,19.869829738274284
30,21.363183277404584
33,7.74935350114654
34,14.1256185161266
36,24.379184892683156
37,22.7814283397004
38,23.928301686640484
42,28.951218826356573
49,6.983374590859263
53,28.131501735490886
60,21.493403641283344
63,24.363310204362833
70,21.015749304119637
72,22.27629254890067
79,21.481744452648613
80,23.134973496541434
83,26.53357031583279
92,27.407648623450918
93,29.632451488906497
96,28.666786911910826
98,36.0171627938055
99,35.76571543961292
100,32.414455235353884
105,21.789262847927425
106,18.52394785902432
111,21.244725162283984
113,20.642766095878194
114,20.485086346671242
116,20.229640043778236
126,22.77639637737792
130,14.560693614142412
131,20.939067832741397
133,21.038285014840504
136,17.818680284975933
141,13.617495151178531
144,12.011523336463721
145,8.282759132538185
147,15.725401887531255
152,18.823900148388063
153,21.900368035626034
156,21.239384965703017
158,33.93579310527354
163,42.64212385477461
169,26.358188724312924
185,21.593939990165886
186,23.905123363168897
189,32.51481090469235
196,40.69463756386706
197,35.374805045666186
199,33.69092226853876
200,30.030493525084257
203,36.98949380081751
208,16.806623955370252
210,16.436911685761334
211,22.366505115361367
213,23.204899024181532
216,24.48558839081367
218,28.036185992731127
219,24.995325622833487
220,30.308653011697604
221,33.958896693654005
229,36.215328451344526
232,33.26842371276575
238,32.74747139619099
239,28.150409726620012
240,27.848909768870215
242,22.5061481679778
246,11.72942871925381
248,18.728937796347097
253,24.973325118229106
255,22.817807279945303
256,20.450928697657957
257,37.07435915980773
258,43.105541904762674
259,35.82221900625999
260,34.365476691734536
268,40.32869428555104
270,25.76665181980478
271,21.446170156557812
276,33.759740444401395
277,36.30540748926525
278,35.862071954224255
279,30.07563835401312
281,38.01364339993634
288,26.248870850386965
290,25.97476498736112
292,34.45631846407015
295,23.490681340249047
296,27.936729905764402
299,28.17209784485579
300,31.142050635643045
301,29.551655278951763
308,32.155006718866964
314,24.989696628294066
315,24.75699823663559
320,20.527755761406638
322,24.458132366698514
323,22.39777104879279
324,18.372881428344087
327,23.451318006893512
330,23.564240927713335
332,18.470998719516544
333,22.167346248367707
336,20.030375081278954
338,18.266675552571954
346,14.933950268080537
347,12.903819328179345
351,19.13267722279555
352,19.147887358700586
354,23.757969751098845
355,13.231300637612481
356,15.717510062842681
362,20.209493459920587
364,22.627173745421054
365,40.71394306868114
370,35.716628407707255
376,27.482718814998567
379,17.37634062720774
380,18.137534565907487
381,20.162361380494225
382,19.734423876703104
386,8.605076427625939
389,6.728719650179869
391,18.206561086213163
394,21.531574133851045
396,21.41118360895291
398,17.12289684726402
400,11.117573179948813
403,19.093167782542707
405,9.426520011205291
406,12.107942372239123
407,9.079638499435372
410,20.287057627596518
411,17.940583393375725
412,16.860299786820725
413,0.7079342143571807
417,12.933547875197622
421,20.72532264956675
422,18.984793990916128
423,19.509784166460957
424,12.473026888200994
427,16.738563561603968
431,18.08255720482905
436,13.336880871481274
437,14.883028523117229
439,4.096574130446886
447,18.261163228970556
450,17.616257988972663
451,16.28686207811571
455,15.062918951543605
457,12.175271428140181
471,20.45916000110659
474,26.54112002012546
476,15.630209389216184
483,29.568083635825165
486,23.048259464907055
490,6.730783629486414
495,19.661512083768045
496,15.67530917239436
497,12.07186727963051
499,20.149563809115257
501,19.04378871731938
505,25.099189781364412
